category,n_pass,pass_rate,n_score,mean_score
Algebra,84,0.75,84,0.8286904761904762
Calculus,91,0.6483516483516484,91,0.7983516483516484
Applied Mathematics,60,0.7166666666666667,60,0.9090833333333334
Geometry,66,0.6212121212121212,66,0.8572727272727273
Discrete Mathematics,89,0.7528089887640449,89,0.856179775280899
Linear Algebra,47,0.8936170212765957,47,0.9176595744680852
Number Theory,52,0.7115384615384616,52,0.8519230769230769
Other,3,0.6666666666666666,3,0.5399999999999999
