category,n_pass,pass_rate,n_score,mean_score
Algebra,160,0.45,160,0.5796875
Calculus,164,0.4817073170731707,167,0.6008383233532935
Applied Mathematics,111,0.5135135135135135,110,0.6431818181818182
Geometry,125,0.544,123,0.655650406504065
Discrete Mathematics,165,0.47878787878787876,164,0.5757012195121951
Linear Algebra,80,0.575,82,0.6864024390243902
Number Theory,95,0.4421052631578947,98,0.6086224489795918
Other,7,0.2857142857142857,7,0.33999999999999997
