category,n_pass,pass_rate,n_score,mean_score
Algebra,161,0.391304347826087,161,0.6241304347826087
Calculus,168,0.38095238095238093,168,0.6342261904761904
Applied Mathematics,111,0.46846846846846846,112,0.6994196428571428
Geometry,126,0.4603174603174603,126,0.7101587301587302
Discrete Mathematics,168,0.36904761904761907,168,0.6277083333333333
Linear Algebra,84,0.40476190476190477,84,0.7150595238095238
Number Theory,98,0.40816326530612246,98,0.6486224489795918
Other,7,0.14285714285714285,7,0.35714285714285715
