generator,n_pass,pass_rate,n_score,mean_score
Gemma4-E4B (non-thinking),131,0.7557251908396947,132,0.80375
Gemma4-E4B (thinking),124,0.7903225806451613,127,0.8563779527559056
Qwen3-8B (non-thinking),131,0.7786259541984732,132,0.824659090909091
Qwen3-8B (thinking),131,0.8244274809160306,131,0.877175572519084
