category,n_pass,pass_rate,n_score,mean_score
Algebra,92,0.75,92,0.8908695652173912
Calculus,96,0.6666666666666666,96,0.8717708333333333
Applied Mathematics,64,0.765625,64,0.939140625
Geometry,72,0.6944444444444444,72,0.9295138888888889
Discrete Mathematics,96,0.8020833333333334,96,0.9179166666666667
Linear Algebra,48,0.8125,48,0.93
Number Theory,56,0.7857142857142857,56,0.8961607142857143
Other,4,0.5,4,0.55
