generator,n_pass,pass_rate,n_score,mean_score
Gemma4-E4B (non-thinking),132,0.8484848484848485,132,0.9193560606060607
Gemma4-E4B (thinking),132,0.8636363636363636,132,0.9319318181818181
Qwen3-8B (non-thinking),132,0.6666666666666666,132,0.8917045454545455
Qwen3-8B (thinking),132,0.6060606060606061,132,0.8768939393939394
