category,n_pass,pass_rate,n_score,mean_score
Algebra,114,0.45614035087719296,99,0.6048989898989898
Calculus,119,0.3865546218487395,101,0.6479207920792079
Applied Mathematics,80,0.525,68,0.7352941176470589
Geometry,90,0.5,78,0.7240384615384615
Discrete Mathematics,119,0.4117647058823529,103,0.6383980582524271
Linear Algebra,60,0.55,51,0.7860784313725491
Number Theory,67,0.43283582089552236,59,0.6736440677966101
Other,5,0.2,5,0.296
