category,n_pass,pass_rate,n_score,mean_score
Algebra,161,0.6770186335403726,161,0.636335403726708
Calculus,168,0.6845238095238095,168,0.6544642857142857
Applied Mathematics,112,0.6875,112,0.6982142857142858
Geometry,126,0.7142857142857143,126,0.6932539682539682
Discrete Mathematics,168,0.6547619047619048,168,0.639702380952381
Linear Algebra,83,0.7349397590361446,84,0.7178571428571429
Number Theory,98,0.7040816326530612,98,0.6642857142857143
Other,7,0.42857142857142855,7,0.43571428571428567
