generator,n_pass,pass_rate,n_score,mean_score
DeepSeekMath-7B-Instruct,132,0.19696969696969696,42,0.3759523809523809
DeepSeekMath-7B-RL,132,0.3106060606060606,132,0.48359848484848483
Gemma4-E4B (non-thinking),132,0.7348484848484849,132,0.8696212121212121
Qwen2.5-Math-7B,132,0.3939393939393939,132,0.6404166666666666
Qwen3-8B (non-thinking),126,0.6428571428571429,126,0.7930158730158731
