category,n_judges,pass_rate,mean_score
Algebra,4,0.4936158330609131,0.6112630821020766
Calculus,4,0.48343453234952516,0.6343623979057444
Applied Mathematics,4,0.5486204954954955,0.6940274661000764
Geometry,4,0.5546507936507936,0.6957753916138063
Discrete Mathematics,4,0.4785905271199389,0.6203774980125841
Linear Algebra,4,0.5661754159495123,0.7263493842659015
Number Theory,4,0.4967964955031502,0.648793670010377
Other,4,0.26428571428571423,0.3572142857142857
