judge_1,judge_2,n_pass_overlap,pass_agreement,cohens_kappa,n_score_overlap,pearson_r,score_mae
Gemma4-E4B (non-thinking),Gemma4-E4B (thinking),653,0.8790199081163859,0.7555709283538101,564,0.8125590105676763,0.14138297872340427
Gemma4-E4B (non-thinking),Qwen3-8B (non-thinking),922,0.7017353579175705,0.44271050838516823,924,0.9219341128277326,0.08290584415584415
Gemma4-E4B (non-thinking),Qwen3-8B (thinking),906,0.8377483443708609,0.6742681047765793,911,0.8901862449024953,0.10723929747530186
Gemma4-E4B (thinking),Qwen3-8B (non-thinking),653,0.6738131699846861,0.37718461600462116,564,0.6911672106350347,0.18365248226950356
Gemma4-E4B (thinking),Qwen3-8B (thinking),640,0.8484375,0.697948697987622,556,0.7708221754361348,0.13622302158273383
Qwen3-8B (non-thinking),Qwen3-8B (thinking),906,0.7891832229580574,0.5810612553200762,911,0.9211569487239067,0.09716794731064765
