generator,n_judges,pass_rate,mean_score
Qwen3-8B (thinking),3,0.8068475452196383,0.8820936105238432
Gemma4-E4B (non-thinking),4,0.8234009946796207,0.8561742424242424
Qwen3-8B (non-thinking),4,0.744072163264867,0.8392666430791431
Qwen2.5-Math-7B,4,0.5362807765151515,0.7289996096460791
DeepSeekMath-7B-RL,4,0.376910204140643,0.5886141434025293
DeepSeekMath-7B-Instruct,4,0.2506993006993007,0.49929403929403926
Gemma4-E4B (thinking),3,0.007575757575757576,0.0
