category,n_judges,pass_rate,mean_score
Algebra,4,0.7927317247969422,0.8441231684981685
Calculus,4,0.7631844033159823,0.8305514537545787
Applied Mathematics,4,0.8031746031746032,0.8964130084325397
Geometry,4,0.7534310496267018,0.8796563567008109
Discrete Mathematics,4,0.8283612384190814,0.86929905566233
Linear Algebra,4,0.8946143617021276,0.911427304964539
Number Theory,4,0.8182148040638607,0.8643293893606394
Other,4,0.6041666666666666,0.58
