judge_1,judge_2,n_pass_overlap,pass_agreement,cohens_kappa,n_score_overlap,pearson_r,score_mae
Qwen3-8B (non-thinking),Qwen3-8B (thinking),517,0.8239845261121856,0.2749618579420236,522,0.8199634536755175,0.0745785440613027
Qwen3-8B (non-thinking),Gemma4-E4B (non-thinking),528,0.7746212121212122,0.19209998457028277,528,0.5991171518450568,0.07921401515151516
Qwen3-8B (non-thinking),Gemma4-E4B (thinking),492,0.7540650406504065,0.1877865094957431,492,0.5896088666749676,0.1171849593495935
Qwen3-8B (thinking),Gemma4-E4B (non-thinking),517,0.7969052224371374,0.43321465487538763,522,0.5263197391360248,0.10746168582375479
Qwen3-8B (thinking),Gemma4-E4B (thinking),481,0.8731808731808732,0.6597158596694696,486,0.6596660846739258,0.10692386831275721
Gemma4-E4B (non-thinking),Gemma4-E4B (thinking),492,0.8353658536585366,0.5722565687789799,492,0.7336199729070036,0.096869918699187
