category,n_judges,pass_rate,mean_score
Algebra,3,0.5061076604554865,0.6133844461697723
Calculus,3,0.5157278358497871,0.6298429331812566
Applied Mathematics,3,0.556493993993994,0.6802719155844156
Geometry,3,0.5728677248677249,0.6863543683055878
Discrete Mathematics,3,0.5008658008658008,0.6143706445993031
Linear Algebra,3,0.5715672212660164,0.7064397018970189
Number Theory,3,0.5181167203723595,0.6405102040816326
Other,3,0.2857142857142857,0.3776190476190476
