category,n_pass,pass_rate,n_score,mean_score
Algebra,92,0.9456521739130435,92,0.8391304347826087
Calculus,96,0.9166666666666666,96,0.8374999999999999
Applied Mathematics,64,0.984375,64,0.8820312499999999
Geometry,72,0.9444444444444444,72,0.8694444444444445
Discrete Mathematics,96,0.9375,96,0.8705208333333333
Linear Algebra,48,1.0,48,0.8916666666666666
Number Theory,56,0.9642857142857143,56,0.8571428571428571
Other,4,0.75,4,0.65
