generator,n_pass,pass_rate,n_score,mean_score
Gemma4-E4B (non-thinking),132,0.9545454545454546,132,0.8319696969696969
Gemma4-E4B (thinking),132,0.9772727272727273,132,0.8681818181818182
Qwen3-8B (non-thinking),132,0.8863636363636364,132,0.85
Qwen3-8B (thinking),132,0.9772727272727273,132,0.8863636363636364
